u0_opt,u1_opt,u2_opt
5.83152e-06,0.105008,1.47676
6.48546e-06,0.108499,1.45916
7.29649e-06,0.111989,1.44546
8.32833e-06,0.11548,1.43483
9.68455e-06,0.118971,1.4266
1.15455e-05,0.122461,1.42026
1.42558e-05,0.125952,1.41542
1.85685e-05,0.129443,1.41177
2.65197e-05,0.132933,1.4091
4.64456e-05,0.136424,1.40723
0.254858,0.136094,1.40604
0.25,0.135937,1.40547
1.1212e-07,0.130845,0.349066
1.22699e-07,0.127354,0.349066
1.53995e-07,0.130845,0.349066
2.23569e-07,0.134335,0.349066
0.226036,0.137826,0.349066
0.5,0.139114,0.349066
0.5,0.135623,0.349066
0.5,0.132132,0.349066
0.5,0.128642,0.349066
0.5,0.125151,0.349066
0.5,0.12166,0.349066
0.5,0.11817,0.349066
0.5,0.114679,0.349066
0.5,0.111188,0.349066
0.5,0.107698,0.349066
0.5,0.104207,0.365618
0.5,0.100716,0.416297
0.5,0.0972256,0.498362
0.5,0.0937349,0.61242
0.5,0.0902442,0.760127
0.5,0.0867536,0.942361
0.5,0.0832629,1.15763
0.5,0.0797722,1.40091
0.5,0.0762816,1.66271
0.5,0.0727909,1.92451
2.55581e-06,0.0693002,2.18631
2.67961e-06,0.0658096,2.44346
2.81521e-06,0.0693002,2.25035
2.96519e-06,0.0727909,2.08791
3.13156e-06,0.0762816,1.9514
3.31684e-06,0.0797722,1.83822
3.52416e-06,0.0832629,1.74578
3.75748e-06,0.0867536,1.67132
4.0218e-06,0.0902442,1.61198
4.32355e-06,0.0937349,1.56506
4.67108e-06,0.0972256,1.52817
5.07547e-06,0.100716,1.49926
5.55169e-06,0.104207,1.47666
6.12046e-06,0.107698,1.45903
6.81134e-06,0.111188,1.4453
7.66796e-06,0.114679,1.43462
8.75752e-06,0.11817,1.42632
1.01892e-05,0.12166,1.41991
1.21531e-05,0.125151,1.41496
1.50124e-05,0.128642,1.41119
1.95607e-05,0.132132,1.40835
2.79439e-05,0.135623,1.40627
4.89468e-05,0.139114,1.40481
0.250187,0.13896,1.40389
0.25,0.138894,1.40344
1.96933e-07,0.134782,0.349066
2.15129e-07,0.131292,0.349066
2.6956e-07,0.134782,0.349066
3.90412e-07,0.138273,0.349066
0.257569,0.139826,0.349066
0.5,0.136335,0.349066
0.5,0.132845,0.349066
0.5,0.129354,0.349066
0.5,0.125863,0.349066
0.5,0.122373,0.349066
0.5,0.118882,0.349066
0.5,0.115391,0.349066
0.5,0.111901,0.349066
0.5,0.10841,0.349066
0.5,0.104919,0.351224
0.5,0.101429,0.392424
0.5,0.0979378,0.467945
0.5,0.0944472,0.578047
0.5,0.0909565,0.725033
0.5,0.0874658,0.911043
0.5,0.0839752,1.13607
0.5,0.0804845,1.39626
0.5,0.0769938,1.65806
0.5,0.0735032,1.91986
4.21006e-06,0.0700125,2.18166
4.40842e-06,0.0665218,2.44346
4.62552e-06,0.0700125,2.25035
4.86494e-06,0.0735032,2.0879
5.12948e-06,0.0769938,1.9514
5.4227e-06,0.0804845,1.83821
5.74889e-06,0.0839752,1.74577
6.1136e-06,0.0874658,1.6713
6.52424e-06,0.0909565,1.61196
6.98938e-06,0.0944472,1.56504
7.52056e-06,0.0979378,1.52813
8.13174e-06,0.101429,1.49921
8.84329e-06,0.104919,1.4766
9.68161e-06,0.10841,1.45896
1.06818e-05,0.111901,1.4452
1.18969e-05,0.115391,1.43449
1.34034e-05,0.118882,1.42616
1.53189e-05,0.122373,1.41969
1.78352e-05,0.125863,1.41469
2.12859e-05,0.129354,1.41084
2.63082e-05,0.132845,1.4079
3.42943e-05,0.136335,1.40569
4.9008e-05,0.139826,1.40406
8.58571e-05,0.143317,1.40292
0.247213,0.143276,1.4022
0.25,0.143276,1.40185
1.41668e-07,0.138829,0.349066
1.63792e-07,0.135338,0.349066
2.38375e-07,0.138829,0.349066
